hood_id,english
1,Glilot
2,Tzukey Aviv
3,Azor Sde Dov
4,Nofei Yam
5,Tochnit Lamed
6,Kochav HaTzafon
7,Ramat Aviv Gimel
8,Afeka
9,Neve Avivim
10,Ramat Aviv
11,Tel Aviv University
12,Merkaz HaYaridim
13,Park HaYarkon
14,Tel Baruch Tzafon
15,Tel Baruch
16,Maoz Aviv
17,Neot Afeka Bet
18,Neot Afeka Aleph
19,Hadar Yosef
20,Kiryat Shaul
21,HaMashtela
22,"Ganei Tzahala, Ramot Tzahala"
23,Tzahala
24,Neve Sherut
25,Revivim
26,Neve Dan
27,Ramat HaHayal
28,Atidim
29,Namal Tel Aviv
30,HaTzafon HaYashan - HaChelek HaTzafoni
31,HaTzafon HaYashan - HaChelek HaDaromi
32,Bavli
33,HaTzafon HaChadash - HaChelek HaTzafoni
34,HaTzafon HaChadash - Svivat Kikar HaMedina
35,HaTzafon HaChadash - HaChelek HaDaromi
36,Tzameret Ayalon
37,Lev Tel Aviv
38,Kerem HaTemanim
39,Neve Tzedek
40,Ganei Sharon
41,Montefiore
42,Tzafon Yaffo
43,"Givat Herzl, Azor HaMelacha-Yaffo"
44,"Yaffo HaAtika, Namal Yaffo"
45,Agami VeGivat Alia
46,Tzhalon VeShikunei Hisachon
47,Yaffo Gimmel VeNeve Golan
48,Michlelet Yaffo Tel Aviv VeDaker
49,Yaffo Dalet (Givat HaTamarim)
50,Neve Ofer
51,Ezor Taasuka-Tzomet Holon
52,Florentin
53,Neve Shaanan
54,Shapira
55,Park HaHoreshot
56,Kiryat Shalom
57,Nachlat Yitzhak
58,Bitzaron VeRamat Yisrael
59,Tel Hayim
60,Ramat HaTayasim
61,Orot
62,Yad Eliyahu
63,Hatikva
64,Ezra VeHaArgazim
65,"Lavannah, Yedidya"
66,Park Darom
67,Kefir
68,"Neve Barbur, Kfar Shalem Maarav"
69,Neve Eliezer VeKfar Shalem Mizrah
70,Neve Chen
71,Nir Aviv
